genre,artist,title,url
rock,Boston,More than a Feeling,https://www.youtube.com/watch?v=SSR6ZzjDZ94
guitar,David Bolshoy,Sueno en la Floresta,https://www.youtube.com/watch?v=1zyW4-m7L4c
new wave,Talk Talk,Itâ€™s my life,https://www.youtube.com/watch?v=5ixRWvrkUHo
summer,John Barry,Walkabout,https://www.youtube.com/watch?v=s5Mf--ykjEU
new wave,Peter Schilling,Major Tom,https://www.youtube.com/watch?v=N1Hs2AQwDgA
new wave,a ha ,Take on me,https://www.youtube.com/watch?v=djV11Xbc914
Christmas,Alison Moyet,The Christmas Carol
new wave,Talk Talk,Living in another Works,https://www.youtube.com/watch?v=qAlLQaDXc4I
new wave,Talk Talk,Such a Shame,https://www.youtube.com/watch?v=i7OEvo-GjUg
new wave,Talk Talk,Talk Talk,https://www.youtube.com/watch?v=jYVyPvEoMXw
rock,Four Seasons,December 1963,https://www.youtube.com/watch?v=nDxhugRKZ8g
rock, Marroon 5, Maps (Following), https://www.youtube.com/watch?v=Y7ix6RITXM0
rock, Guster, Satellite, https://www.youtube.com/watch?v=bAkvb2Rhces
rock, 21 Pilots, Stressed Out, https://www.youtube.com/watch?v=pXRviuL6vMY
rock, Imagine Dragons, Radioactive, https://www.youtube.com/watch?v=ktvTqknDobU
rock, Silver Sun Pickups, Lazy Eye, https://www.youtube.com/watch?v=DYd57rkvnpQ
rock, Bob Dylan, Hurricane, https://www.youtube.com/watch?v=gGMSfiH850o
rock, Peter Bjorn and John, Young Folks, https://www.youtube.com/watch?v=OIRE6iw-ws4
rock, Steve Perry, Oh Sherrie, https://www.youtube.com/watch?v=zFxGtIqqwT4
rock, Benny Mardonis, Into the Night, https://www.youtube.com/watch?v=4aWhn0Hc8ps
rock, Chameleons UK, Pleasure and Pain, https://www.youtube.com/watch?v=6qocm4MDCZk
new wave, Depeche Mode, Enjoy the Silence, https://www.youtube.com/watch?v=m0AKJMGxwpE
rock, Ylvis, The Fox, https://www.youtube.com/watch?v=jofNR_WkoCE
rock, Sniff'n the Tears, Driver's Seat, http://www.youtube.com/watch?v=blrHHRWKygw&list=RD024aWhn0Hc8ps
rock, Foster the people, Coming of Age, https://www.youtube.com/watch?v=MBqzrj18S2w
rock, Arcade Fire, Reflektor, https://www.youtube.com/watch?v=7E0fVfectDo
rock, Congos, Come with me now, https://www.youtube.com/watch?v=Gz2GVlQkn4Q
rock, Lady Gaga, Just Dance, http://www.youtube.com/watch?v=L5G4nB7Pzsk
rock,Looking Glass , Brandi your a fine girl, http://www.youtube.com/watch?v=N-tRXewCAmU
rock, Firefall, Just remember I love you, https://www.youtube.com/watch?v=Lt6lYiKcik8
rock, Michael Martin Murphy, Wildfire, http://www.youtube.com/watch?v=Pc3OnSQc48s
rock, Al Stewart, Year of the cat, https://www.youtube.com/watch?v=cqZc7ZQURMs
rock, Kavinsky, Nightcall, https://www.youtube.com/watch?v=MV_3Dpw-BRY
guitar, Lawson Rawlings, Fire Cadenza, https://www.youtube.com/watch?v=MQ9PRzIyzFA
guitar, Ewan Dobson, Time 2, https://www.youtube.com/watch?v=eXqPYte8tvc
Christmas, Enya, Oh come oh come Emmanuel, https://www.youtube.com/watch?v=DPHh3nMMu-I
rock, Allison Moyet, Coventry Carl, https://www.youtube.com/watch?v=MDCnHJ5QqK4
Christmas, Vince Guaraldi, Christmas Time is here, https://www.youtube.com/watch?v=YvI_FNrczzQ
rock,The Third Wave,Stormy,https://www.youtube.com/watch?v=ToDZ_iFcCvA
rap,SuperSecretProject,Granite State of Mind,https://www.youtube.com/watch?v=qjxraD723Ks
Christmas,Mel Torme,The Christmas Song,http://listenonrepeat.com/watch/?v=wap-4v5CZLM#The_Christmas_Song__Mel_Torme
Christmas,Judy Garland , Have Yourself a Merry Little Christmas, http://listenonrepeat.com/watch/?v=jxxTHzERTsk#Have_Yourself_A_Merry_Little_Christmas_%7C_Judy_Garland_%E2%99%A1
guitar, Enrique Granados, Spanish Dance No. 5: Andaluza, http://www.listenonrepeat.com/watch/?v=9uCOuKMl-5Y
rock,Lynyrd Skynyrd,Smell that smell,https://www.youtube.com/watch?v=J4j7ggZqbiU
rock,Like Wolves,Suburban Paradise,https://soundcloud.com/like-wolves
rock,Slowdive,Slowdive,https://www.youtube.com/watch?v=CMSAELTTgrk
rock,Young the Giant,St. Walker,https://www.youtube.com/watch?v=W1hZ1wbPcnU
rock,Chainsmoker & Coldplay, Something just like this, https://www.youtube.com/watch?v=FM7MFYoylVs
guitar, Ewan Dobson, Time 2, https://www.youtube.com/watch?v=eXqPYte8tvc
guitar, Alexandr Misko, Zombie-Cranberries, https://www.youtube.com/watch?v=0TFiKAhkb7k
rock,The Revivalists,Wish I knew you,https://www.youtube.com/watch?v=o0Pt7M0weUI
guitar,Alexandr Misko,Zombies,https://www.youtube.com/watch?v=0TFiKAhkb7k&list=RD0TFiKAhkb7k
guitar, Ewan Dobson, Time 2 guitar, https://www.youtube.com/watch?v=eXqPYte8tvc&list=RDeXqPYte8tvc
new wave,Thompson Twins,Hold Me Now,https://www.youtube.com/watch?v=H9694K85Xc8
new wave,Flock of Seagulls,Space Age Love Song,https://www.youtube.com/watch?v=mcMh6GZoFC8
rock,Jigsaw,Sky High,https://www.youtube.com/watch?v=QjtD8A-MWBc
